http://www.radiorodja.com/akhlaq/kutitip-surat-ini-untukmu,Kutitip Surat ini Untukmu,http://www.radiorodja.com/podpress_trac/web/1666/0/CurahanHatiSangIbuUntukAnaknya.mp3,"Tema             :  Pemateri           : Ustadz Armen Halim Naro RahimahullahLokasi            :  Masjid Al Barkah CileungsiDalam Kajian ini al ustadz – Rahimahullah – berupaya mengungkapkan curahan hati seorang Ibu dalam sepucuk surat yang beliau tujukan untuk anaknya yang sudah berangkat dewasa, dalam sepucuk surat tersebut tergambar begitu besarnya kasih dan sayang seorang ibu untuk anaknya dan begitu besar harapannya agar sang anak berada dalam kebaikan dalam setiap keadaan,hal ini bisa menggugah dan mengingatkan kita akan jasa besar Ibu-ibu kita dalam mendidik dan membesarkan kita."
http://www.radiorodja.com/kajian-live/hukum-perayaan-tahun-baru,Hukum Perayaan Tahun baru,http://www.radiorodja.com/podpress_trac/web/1662/0/HukumPerayaanTahunBaru.mp3,Tema                :  Hukum Perayaan Tahun BaruPemateri            :  Ustadz Badrusalam Abu YahyaLokasi                : Studio radio RodjaKajian ini menjelaskan mengenai hukum perayaan tahun baru yang semakin cenderung marak ditengah sebagian masyarakat.semoga bermanfaat
http://www.radiorodja.com/live-madinah/tafsir-surat-yasin-ayat-12,Tafsir Surat Yasin Ayat 12,http://www.radiorodja.com/podpress_trac/web/1636/0/047_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_tafsirSuratYasinAyat12.mp3,"Tema         : Tafsir Surat Yasin ayat 12 dan Soal jawabPemateri    : Syaikh Prof.Dr.Abdur Rozzaq bin Abdul muhsin Al badr Penterjemah     : ustadz Firanda Andirjawaktu       : Ahad dan senin,13 dan 14 Desember 2009"
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-29,Bimbingan Bahasa Arab (29),http://www.radiorodja.com/podpress_trac/web/74/0/29_Bahasa_Arab_27_Juni_2008.mp3,Pertemuan KeduapuluhsembilanTema :� Pelajaran 12Pembicara : Ustadz Hamzah AbbasTanggal :27 Juni� 2008
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-03,Bimbingan Bahasa Arab (03),http://www.radiorodja.com/podpress_trac/web/9/0/03_Bahasa_Arab_15_Desember_2007.mp3,Pertemuan KetigaTema : Pelajaran KeduaPembicara : Ustadz Hamzah AbbasTanggal :� 15 Desember 2007
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-26,Bimbingan Bahasa Arab (26),http://www.radiorodja.com/podpress_trac/web/67/0/26_Bahasa_Arab_6_Juni_2008.mp3,Pertemuan KeduapuluhenamTema :� Pelajaran 10Pembicara : Ustadz Hamzah AbbasTanggal :6 Juni� 2008
http://www.radiorodja.com/akhlaq/meneladani-akhlaq-salafus-shalih-01,Meneladani Akhlaq Salafus Shalih (01),http://www.radiorodja.com/podpress_trac/web/42/0/Meneladani_Akhlaq_Salafus_Shalih01.mp3,Tema : Meneladani Akhlaq�  Salafus Shalih (01)Pembicara : Ustadz badrusalamTempat : Studio Radio RodjaAssalamu’alaikum warohmatullahi wabarokatuh�
http://www.radiorodja.com/arbain/syarah-hadits-arbain-nawawiyah-02,Faidah-Faidah Ikhlas,http://www.radiorodja.com/podpress_trac/web/911/0/Arbain004_64kb.mp3,"Kajian Live dari Madinah an NabawiyahTema             :  Kelanjutan Penjelasan Hadits 01 Arbain ,Faidah-faidah IkhlasPemateri       : Ustadz Abu Abdul Muhsin FirandaWaktu            : Setiap Senin malam jam 20.45 WIB"
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-22,Bimbingan Bahasa Arab (22),http://www.radiorodja.com/podpress_trac/web/48/0/22_Bahasa_Arab_9_Mei_2008.mp3,Pertemuan KeduapuluhduaTema : Pelajaran� kesembilan dari buku 1Pembicara : Ustadz Hamzah AbbasTanggal :9 Mei� 2008
http://www.radiorodja.com/live-madinah/7-amalan-yang-lestari,7 Amalan Yang Lestari,http://www.radiorodja.com/podpress_trac/web/1348/0/018_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_7AmalanYgLestari.mp3,"Materi : 7 Amalan Yang LestariPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz Anas BurhanudinWaktu : Senin malam, 10 Agustus 2009"
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-12,Bimbingan Bahasa Arab (12),http://www.radiorodja.com/podpress_trac/web/25/0/12_Bahasa_arab_29_feb_2008.mp3,Pertemuan KeduabelasTema : Pelajaran� keenam dari buku 1Pembicara : Ustadz Hamzah AbbasTanggal :� 29 Februari 2008
http://www.radiorodja.com/live-madinah/larangan-mengikuti-kebatilan-umat-terdahulu,Larangan Mengikuti Kebatilan Umat Terdahulu,http://www.radiorodja.com/podpress_trac/web/1345/0/017_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_laranganMengikutiKebatilanUmmatTerdahulu.mp3,"Materi : Larangan Mengikuti Kebatilan Umat TerdahuluPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz Anas BurhanudinWaktu : Ahad malam, 9 Agustus 2009"
http://www.radiorodja.com/pengaruh-maksiat/kemaksiatan-dan-pengaruhnya-untuk-pribadi-dan-masyarakat-03,Kemaksiatan dan pengaruhnya untuk pribadi dan masyarakat (03),http://www.radiorodja.com/podpress_trac/web/515/0/003_al_maasy_wa_atsaruha_alal_fardhi_wal_mujtama.mp3,Tema : Kemaksiatan dan pengaruhnya untuk pribadi dan masyarakatJudul Asli : Al ma’asy wa atsaruha alal fardhi wal mujtamaPembicara : Ustadz Ali SamanPertemuan : Ketiga
http://www.radiorodja.com/taujihat-islamiyah/taujihat-islamiyah-2,Taujihat Islamiyah (02),http://www.radiorodja.com/podpress_trac/web/112/0/002_taujihat_Islamiyah_ustadz_Jazuli.mp3,Tema : Taujihat Islamiyah Li Ishlaahil Fardhi wal mujtama’Kitab Karangan : syaikh muhammad Jamil ZainuPembicara : Ustadz JazuliJadwal : Rabu Jam 16.30
http://www.radiorodja.com/kajian-live/fiqh-idul-fitri,Fiqh Idul Fitri,http://www.radiorodja.com/podpress_trac/web/123/0/fiqh_idul_fitri_ust_Badrusalam.mp3,Tema : Fiqh Idul FitriPembicara : Ustadz BadrusalamTempat : Masjid Al barkahHari : Ahad
http://www.radiorodja.com/kajian-subuh/fiqih-al-wajiz,Fiqih Al Wajiz,http://www.radiorodja.com/podpress_trac/web/350/0/080330_Kitab_Fiqih_Al_Wajiz.mp3,Judul Kajian : Fiqih Al WajizBahasan : Rukun-rukun SholatPembicara : Ustadz BadrusalamHari : Ahad
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-08,Bimbingan Bahasa Arab (08),http://www.radiorodja.com/podpress_trac/web/17/0/08_Bahasa_Arab_25_Januari_2008.mp3,Pertemuan KedelapanTema : Pelajaran Keempat dan kelima dari buku 1Pembicara : Ustadz Hamzah AbbasTanggal :� 25� Januari 2008
http://www.radiorodja.com/live-madinah/syarah-hadits-ummu-sunnah,Syarah Hadits Ummu Sunnah,http://www.radiorodja.com/podpress_trac/web/1226/0/007_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_syarahHaditsUmmuSunnah.mp3,"Materi                         : Syarah Hadits Ummu SunnahPenterjemah                 : Ustadz Abu Abdul Muhsin FirandaWaktu                         : Ahad malam, 5 juli 2009 Sebagaimana surat Al Fatihah dinamakan ummul Qur’an,maka hadits yang mulia ini oleh para ulama dinamakan sebagai ummus Sunnah,karena begitu besar dan agungnya faidah-faidah yang bisa kita dapatkan.bagaimana penjelasan dari hadits yang Mulia ini? mari kita simak kajian berikut ini;"
http://www.radiorodja.com/bahasa-arab-jilid-2/bahasa-arab-jilid-2-pertemuan-ke-3,Bahasa Arab Jilid 2 Pertemuan ke-3,http://www.radiorodja.com/podpress_trac/web/1190/0/BahasaArab2_003_6Juni2009.mp3,"Tema             :  Bimbingan Bahasa Arab jilid 2 pertemuan ke-3Pemateri      : Ustadz Hamzah Abbas LCWaktu           :  Jum’at Malam,6 juni 2009Tempat         : Studio radio Rodja"
http://www.radiorodja.com/live-madinah/indahnya-ramadhan,Indahnya Ramadhan,http://www.radiorodja.com/podpress_trac/web/1359/0/020_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_syarahHadits-haditsTtgRamadhan.mp3,"Materi : Syarah Hadits-hadits yg Berkaitan dengan Bulan RamadhanPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz Anas BurhanudinWaktu : Senin malam, 17 Agustus 2009"
http://www.radiorodja.com/umdatul-ahkam/tata-cara-mandi-janabah-nabi-shalallahu-alahi-wasallam,Tata cara Mandi Janabah Nabi Shalallahu alahi Wasallam,http://www.radiorodja.com/podpress_trac/web/1280/0/014_ustAbuQotadah_syarahUmdatulAhkam_18April2009.mp3,Tema Kajian : Syarah Hadits Umdatul AhkamBahasan : Penjelasan Hadits Bab Mandi dari JanabahPembicara : Ustadz Abu QotadahWaktu : Setiap Sabtu pagi jam 09.00 WIB
http://www.radiorodja.com/kajian-live/tujuan-mulia-ibadah-haji,Tujuan Mulia Ibadah Haji,http://www.radiorodja.com/podpress_trac/web/1606/0/044_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_tujuanMuliaIbadahHaji.mp3,Tema     : Tujuan Mulia Ibadah HajiPemateri  : Syaikh Prof.Dr.Abdur Rozzaq bin Abdul muhsin Al Badr hafidzohumallahPenerjemah   : ustadz Muhammad Nur Ihsan LC MADalam Kajian ini Syaikh menjelaskan beberapa tujuan mulia dari pelaksanaan ibadah haji.selamat mendengarkan..
http://www.radiorodja.com/kajian-live/istiqomah-maknahakikatkedudukan-dan-keutamaanya,"Istiqomah; Makna,hakikat,Kedudukan dan keutamaanya",http://www.radiorodja.com/podpress_trac/web/1402/0/UstadzAbuQotadah_istiqomah.mp3,"Materi : Istiqomah,Makna,hakikat,Kedudukan dan keutamaanya Penyaji : Ustadz Abu QotadahWaktu : Sabtu pagi, 29 Agustus 2009Dalam Kajian ini ustadz Abu Qotadah menjelaskan secara lengkap tentang makna,hakikat,kedudukan dan keutamaan istiqomah,semoga Allah memberikan kpd kita Istiqomah diatas Islam dan Sunnah hingga akhir hayat kita.simaklah kajian yang penuh manfaat ini."
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-02,Bimbingan Bahasa Arab (02),http://www.radiorodja.com/podpress_trac/web/8/0/02_Bahasa_Arab_7_Desember_2007.mp3,Pertemuan KeduaTema : Pelajaran PertamaPembicara : Ustadz Hamzah AbbasTanggal : 7 Desember 2007
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-28,Bimbingan Bahasa Arab (28),http://www.radiorodja.com/podpress_trac/web/72/0/28_Bahasa_Arab_20_Juni_2008.mp3,Pertemuan KeduapuluhdelapanTema :� Pelajaran 11Pembicara : Ustadz Hamzah AbbasTanggal :20 Juni� 2008
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-21,Bimbingan Bahasa Arab (21),http://www.radiorodja.com/podpress_trac/web/44/0/21_Bahasa_Arab_2_Mei_2008.mp3,Pertemuan KeduapuluhsatuTema : Pelajaran� kesembilan dari buku 1Pembicara : Ustadz Hamzah AbbasTanggal :2 Mei� 2008
http://www.radiorodja.com/taujihat-islamiyah/taujihat-islamiyah-1,Taujihat Islamiyah (01),http://www.radiorodja.com/podpress_trac/web/86/0/001_taujihat_Islamiyah_ustadz_Jazuli.mp3,Tema : Taujihat Islamiyah Li Ishlaahil Fardhi wal mujtama’Kitab Karangan : syaikh muhammad Jamil ZainuPembicara : Ustadz JazuliJadwal : Rabu Jam 16.30
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-37,Bimbingan Bahasa Arab (37),http://www.radiorodja.com/podpress_trac/web/133/0/37_bahasa_arab_31_oktober_2008.mp3,Pertemuan KetigapuluhtujuhTema : Pelajaran 14Pembicara : Ustadz Hamzah AbbasTanggal :31 Oktober 2008
http://www.radiorodja.com/live-madinah/terorisme-dalam-timbangan-syariat-islam,Terorisme dalam Timbangan Syariat Islam,http://www.radiorodja.com/podpress_trac/web/1510/0/031_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_hukumTerorismeDalamSyariatIslam_edit.mp3,"Materi : Terorisme dalam Timbangan Syariat IslamPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz FirandaWaktu : Ahad,4 oktober 2009"
http://www.radiorodja.com/live-madinah/syarah-hadits-huffatil-jannatu-bil-makaarih-wa-huffatin-naaru-bis-syubuhaat,Syarah Hadits Huffatil Jannatu bil Makaarih wa Huffatin Naaru Bis Syahawaat,http://www.radiorodja.com/podpress_trac/web/1617/0/046_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_huffatilJannatuBilMakarihWaHuffatinNaaruBisSyahwaat.mp3,"Materi : Syarah Hadits Huffatil jannatu bil Makaarih wa huffatin naaru Bis syubuhaat 

Penyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallah
Penterjemah : Ustadz FirandaDalam kajian ini syaikh menjelaskan hadits yg diriwayatkan oleh Imam Muslim “Huffatil jannatu bil Makaarih wa huffatin naaru Bis syubuhaat” yang menjelaskan kepada kita betapa sulit dan penuh rintangannya jalan menuju surga namun begitu lapang dan penuh godaannya jalan menuju neraka.semoga kita diselamatkan oleh Allah ta’ala dalam menggapai surga dan dijauhakn dari adzab neraka.aamiin"
http://www.radiorodja.com/bahasa-arab/bimbingan-bahasa-arab-01,Bimbingan Bahasa Arab (01),http://www.radiorodja.com/podpress_trac/web/7/0/01_Bahasa_Arab_30_Oktober_2007.mp3,Pertemuan PertamaTema : MuqadimmahPembicara : Ustadz Hamzah AbbasTanggal : 30 Oktober 2007
http://www.radiorodja.com/live-madinah/4-bekal-penting-dalam-kehidupan,4 Bekal Penting Dalam Kehidupan,http://www.radiorodja.com/podpress_trac/web/1541/0/034_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_4PerkaraYgAdaPadamujanganKhawatirTerhadapApYangTdkAdaPadamu.mp3,"Materi : 4 Bekal Penting dalam Kehidupan

Penyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallah
Penterjemah : Ustadz Firanda Andirja

Waktu : Senin , 12 Oktober  2009"
http://www.radiorodja.com/live-madinah/kedzolimankegelapan-yang-sangat-pekat-dihari-kiamat,"Kedzoliman,Kegelapan Yang Sangat Pekat DiHari Kiamat",http://www.radiorodja.com/podpress_trac/web/1525/0/032_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_kedzolimanAdalahKegelapanPekatDihariKiamat.mp3,"Materi : Kedzoliman,Kegelapan yang Sangat Pekat pada Hari kiamatPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz FirandaWaktu : Senin,5 oktober 2009"
http://www.radiorodja.com/live-madinah/kaidah-dalam-menggapai-istiqomah,10 Kaidah Dalam Menggapai Istiqomah,http://www.radiorodja.com/podpress_trac/web/1570/0/039_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_kaidahDalamMenggapaiIstiqomah.mp3,"Tema         : 10 Kaidah Dalam Menggapai IstiqomahPemateri    : Syaikh Prof.Dr.Abdur Rozzaq bin Abdul muhsin Al badr Penterjemah     : ustadz Firanda Andirjawaktu       : Ahad , 01 November 2009"
http://www.radiorodja.com/live-madinah/islam-agama-yang-mudah,Islam Agama yang Mudah,http://www.radiorodja.com/podpress_trac/web/1560/0/037_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_agamaIslamMudah.mp3,"Tema         : Kemudahan Syariat IslamPemateri    : Syaikh Prof.Dr.Abdur Rozzaq bin Abdul muhsin Al badr Penterjemah     : ustadz Firanda Andirjawaktu       : Ahad dan senin, 25 dan 26 Oktober 2009"
http://www.radiorodja.com/live-madinah/3-sebab-terbesar-terampuninya-dosa,3 Sebab Terbesar Diampuninya Dosa,http://www.radiorodja.com/podpress_trac/web/1546/0/035_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_3SebabTerbesarTerampuninyaDosa.mp3,"Materi : 3 Sebab Diampuninya Dosa

Penyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallah
Penterjemah : Ustadz Firanda Andirja

Waktu : Ahad, 18 Oktober  2009"
http://www.radiorodja.com/live-madinah/kemuliaan-syariat-zakat,Kemuliaan Syariat Zakat,http://www.radiorodja.com/podpress_trac/web/1452/0/PenjelasanTtgSyariatZakat_ustMuhammadArifinBadri.mp3,"Materi : Keutamaan Syariat Zakat Penyaji : Al Ustadz Muhammad Arifin Badri hafidzohullahWaktu : Sabtu malam, 12 september 2009Dalam kajian ini ustadz menjelaskan secara gamblang mengenai zakat,keutamaan serta beberapa poin yang perlu diperhatikan dalam menunaikan zakat ini.semoga bermanfaat dan sselamat mendengarkan"
http://www.radiorodja.com/live-madinah/keutamaan-malam-lailatul-qodar,Keutamaan Malam Lailatul Qodar,http://www.radiorodja.com/podpress_trac/web/1449/0/027_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_lailatulQodar.mp3,"Materi : Keutamaan Malam lailatul Qodar Penyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz Anas BurhanudinWaktu : Ahad sore, 13 september 2009"
http://www.radiorodja.com/live-madinah/penjelasan-ayat-ayat-tentang-infaq-dan-sedekah,Penjelasan Ayat-ayat tentang Infaq dan Sedekah,http://www.radiorodja.com/podpress_trac/web/1430/0/025_syaikhAbdurRozzaqBinAbdulMuhsinAlBadr_tafsirAyat2TtgSedekahDanMenafkahkanHartaDiJalanAllah.mp3,"Materi : Tafsir Ayat tentang Sedekah dan Menafkahkan Harta di Jalan Allah Ta’alaPenyaji : Syaikh Prof.DR.Abdur Rozzaq bin Abdul Muhsin Al Badr hafidzohumallahPenterjemah : Ustadz Anas BurhanudinWaktu : Ahad siang, 6 september 2009"
